U 45 | F 184320 | FPS 0472 | D 413 | rR:μσmM 0.69 0.26 0.00 0.98 | F:μσmM 54.7 63.8 3.0 399.0 | H 1.798 | V 0.370 | pL -0.078 | vL 0.029 | ∇ 0.127
U 46 | F 188416 | FPS 0459 | D 421 | rR:μσmM 0.25 0.35 0.00 0.91 | F:μσmM 205.8 134.6 14.0 389.0 | H 1.883 | V 0.125 | pL 0.084 | vL 0.002 | ∇ 0.017
U 47 | F 192512 | FPS 0481 | D 430 | rR:μσmM 0.63 0.30 0.00 0.98 | F:μσmM 59.4 51.7 3.0 304.0 | H 1.786 | V 0.329 | pL -0.122 | vL 0.043 | ∇ 0.118
U 48 | F 196608 | FPS 0472 | D 439 | rR:μσmM 0.22 0.34 0.00 0.97 | F:μσmM 229.8 122.2 5.0 360.0 | H 1.834 | V 0.165 | pL 0.100 | vL 0.005 | ∇ 0.067
U 49 | F 200704 | FPS 0485 | D 447 | rR:μσmM 0.70 0.24 0.00 0.98 | F:μσmM 47.9 36.3 3.0 144.0 | H 1.742 | V 0.384 | pL -0.023 | vL 0.025 | ∇ 0.089
U 50 | F 204800 | FPS 0487 | D 456 | rR:μσmM 0.34 0.31 0.00 0.88 | F:μσmM 194.9 112.8 36.0 381.0 | H 1.848 | V 0.171 | pL 0.047 | vL 0.007 | ∇ 0.047
Status saved
U 51 | F 208896 | FPS 0486 | D 464 | rR:μσmM 0.74 0.23 0.00 0.99 | F:μσmM 44.1 48.6 2.0 398.0 | H 1.762 | V 0.399 | pL -0.054 | vL 0.028 | ∇ 0.129
U 52 | F 212992 | FPS 0455 | D 473 | rR:μσmM 0.29 0.35 0.00 0.88 | F:μσmM 199.9 103.9 49.0 412.0 | H 1.822 | V 0.181 | pL 0.053 | vL 0.011 | ∇ 0.070
U 53 | F 217088 | FPS 0465 | D 482 | rR:μσmM 0.73 0.21 0.00 0.98 | F:μσmM 43.0 32.5 4.0 144.0 | H 1.762 | V 0.476 | pL -0.047 | vL 0.022 | ∇ 0.116
U 54 | F 221184 | FPS 0478 | D 490 | rR:μσmM 0.26 0.32 0.00 0.87 | F:μσmM 200.4 124.6 23.0 366.0 | H 1.808 | V 0.213 | pL 0.123 | vL 0.003 | ∇ 0.041
U 55 | F 225280 | FPS 0459 | D 499 | rR:μσmM 0.72 0.25 0.00 0.98 | F:μσmM 46.3 49.1 4.0 348.0 | H 1.769 | V 0.365 | pL -0.025 | vL 0.024 | ∇ 0.111
U 56 | F 229376 | FPS 0490 | D 508 | rR:μσmM 0.18 0.26 0.00 0.81 | F:μσmM 211.7 94.6 31.0 362.0 | H 1.875 | V 0.137 | pL 0.111 | vL 0.004 | ∇ 0.052
